date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2007-12-06,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,6500.0,12.0,78000.0
2007-12-06,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,100.0,12.07,1207.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,2500.0,12.55,31375.0
2007-12-06,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,1000.0,12.01,12010.0
2007-12-06,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,2000.0,12.0,24000.0
2007-12-06,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,buy,12500.0,6.61,82625.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,4200.0,12.5,52500.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,300.0,12.58,3774.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,1000.0,12.6,12600.0
2007-12-06,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,4900.0,12.05,59045.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,1200.0,12.52,15024.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,1100.0,12.53,13783.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,900.0,12.51,11259.0
2007-12-07,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,buy,2000.0,1.08,2160.0
2008-02-05,ACAD,"KAPLAN, LESTER J PH D",Director,True,Common Stock,buy,2000.0,1.2,2400.0
2008-02-05,ACAD,"KAPLAN, LESTER J PH D",Director,True,Common Stock,buy,1000.0,1.8,1800.0
2008-02-11,ACAD,"IVERSEN, LESLIE L",Director,True,Common Stock,buy,1000.0,1.2,1200.0
2008-02-13,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,4000.0,10.75,43000.0
2008-02-13,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,buy,8000.0,1.08,8640.0
2008-02-13,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,2000.0,10.9,21800.0
2008-02-13,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,2000.0,10.94,21880.0
2008-02-14,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,buy,5000.0,1.08,5400.0
2008-03-18,ACAD,"RASMUSSEN, TORSTEN",Director,True,Common Stock,buy,1000.0,1.2,1200.0
2008-03-18,ACAD,"RASMUSSEN, TORSTEN",Director,True,Common Stock,buy,1000.0,4.0,4000.0
2008-03-18,ACAD,"RASMUSSEN, TORSTEN",Director,True,Common Stock,buy,1000.0,1.8,1800.0
2009-05-18,ACAD,"IVERSEN, LESLIE L",Director,True,Common Stock,buy,3000.0,1.65,4950.0
2009-07-08,ACAD,"TOLF, BO-RAGNAR",VP/Mg. Dir. ACADIA Pharma AB,True,Common Stock,buy,10000.0,1.08,10800.0
2012-08-03,ACAD,"AASEN, THOMAS H","EXEC VP, CFO AND CBO",True,Common Stock,buy,5000.0,1.5,7500.0
2012-09-07,ACAD,"AASEN, THOMAS H","EXEC VP, CFO AND CBO",True,Common Stock,buy,7500.0,1.5,11250.0
2012-11-27,ACAD,"BAITY, GLENN",VP AND GC,True,Common Stock,sell,16206.0,6.2788,101754.23280000001
2012-11-27,ACAD,"AASEN, THOMAS H","EXEC VP, CFO AND CBO",True,Common Stock,sell,30900.0,6.2414,192859.25999999998
2012-11-28,ACAD,"AASEN, THOMAS H","EXEC VP, CFO AND CBO",True,Common Stock,sell,9100.0,5.2499,47774.090000000004
2012-11-28,ACAD,"AASEN, THOMAS H","EXEC VP, CFO AND CBO",True,Common Stock,buy,5000.0,1.08,5400.0
2012-11-28,ACAD,"BAITY, GLENN",VP AND GC,True,Common Stock,sell,4396.0,5.2526,23090.4296
2013-01-10,ACAD,"RASMUSSEN, TORSTEN",Director,True,Common stock,buy,4500.0,1.08,4860.0
2013-01-14,ACAD,"KAPLAN, LESTER J PH D",Director,True,Common Stock,buy,4500.0,1.08,4860.0
2013-01-17,ACAD,"AASEN, THOMAS H","EXEC VP, CFO AND CBO",True,Common Stock,buy,12000.0,1.08,12960.0
2013-04-01,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,buy,40000.0,1.08,43200.0
