date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,intangibleassets,intangibleassetsexcludinggoodwill,inventory,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,operating_margin_ttm,operatingcashflow,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2013-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-01,,1.48,,pre-market,,,,,,,,,,,13.8462,,,,,,,,,,,
2013-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-31,,1.44,,pre-market,,,,,,,,,,,8.2707,,,,,,,,,,,
2013-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-30,,1.34,,pre-market,,,,,,,,,,,-0.7407,,,,,,,,,,,
2013-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-12,,1.37,,pre-market,,,,,,,,,,,5.3846,,,,,,,,,,,
2014-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-30,,1.37,,pre-market,,,,,,,,,,,-1.4388,,,,,,,,,,,
2014-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-30,,1.39,,pre-market,,,,,,,,,,,-4.1379,,,,,,,,,,,
2014-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-29,,1.6,,post-market,,,,,,,,,,,12.6761,,,,,,,,,,,
2014-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-11,,1.38,,post-market,,,,,,,,,,,0.7299,,,,,,,,,,,
2015-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-06,,1.44,,post-market,,,,,,,,,,,2.1277,,,,,,,,,,,
2015-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-29,,1.56,,post-market,,,,,,,,,,,4.0,,,,,,,,,,,
