date,open,high,low,close,volume,ema_12_ema,ema_26_ema,sma_200_sma,sma_20_sma,sma_50_sma
2017-01-06,32.81,33.38,32.47,18.87,1062250,17.315,16.993,20.2614,16.7646,16.6877
2017-01-13,32.54,33.26,32.35,18.89,1741799,17.5576,17.1337,20.2427,16.8663,16.7499
2017-01-20,33.07,33.4,32.76,18.95,1055941,17.7726,17.2686,20.2253,16.9628,16.8251
2017-01-27,32.85,33.19,31.44,17.97,3017284,17.8037,17.3209,20.2085,17.0069,16.8992
2017-02-03,31.05,31.41,30.31,17.82,4717697,17.8054,17.3575,20.189,17.0992,16.9649
2017-02-10,30.66,30.79,29.63,17.48,1362372,17.7552,17.3665,20.1647,17.1733,17.0123
2017-02-17,30.97,31.08,30.0,17.14,1325203,17.66,17.3495,20.142,17.2075,17.0294
2017-02-24,31.0,31.13,30.03,17.21,768969,17.5901,17.3388,20.1167,17.2232,17.0477
2017-03-03,30.3,32.38,30.27,18.32,2172972,17.7027,17.4117,20.0934,17.3013,17.0756
2017-03-10,32.09,32.09,30.68,17.85,1849389,17.7253,17.4441,20.0673,17.34,17.1091
2017-03-17,31.23,32.26,30.5,18.27,1420291,17.8092,17.5053,20.0423,17.4184,17.1561
2017-03-24,31.9,32.67,31.75,18.45,1075168,17.9083,17.5755,20.0221,17.5472,17.2056
2017-03-31,32.35,32.85,32.27,18.65,1020786,18.0228,17.6553,20.0052,17.7062,17.2453
2017-04-07,32.7,33.32,32.01,18.41,1004124,18.0821,17.7111,19.9864,17.8783,17.268
2017-04-13,32.15,32.6,31.71,18.11,1172480,18.0857,17.7403,19.9718,18.0154,17.2729
2017-04-21,31.96,31.97,30.41,17.81,2205999,18.0427,17.7452,19.9616,18.0864,17.2934
2017-04-28,31.52,31.88,30.98,18.02,2705172,18.0386,17.7652,19.9519,18.1315,17.3222
2017-05-05,31.14,32.3,30.92,18.77,1444490,18.1514,17.8398,19.9467,18.1757,17.3722
2017-05-12,32.21,32.62,31.85,18.94,1174299,18.2728,17.9213,19.9391,18.2148,17.4068
2017-05-19,32.98,34.62,32.66,19.61,2154823,18.4793,18.0468,19.9308,18.2769,17.4585
2017-05-26,33.86,33.99,31.96,18.68,1639394,18.51,18.0936,19.9153,18.2674,17.4855
2017-06-02,32.02,32.13,31.4,18.5,853675,18.5082,18.1236,19.8965,18.2477,17.5077
2017-06-09,31.64,32.02,31.0,18.23,1069550,18.4655,18.1315,19.8764,18.2115,17.5416
2017-06-16,31.53,31.66,30.56,18.13,2574612,18.4133,18.1311,19.854,18.2191,17.5336
2017-06-23,31.23,31.3,30.14,17.74,1190460,18.3092,18.1019,19.8292,18.2152,17.5297
2017-06-30,30.61,30.91,29.91,17.48,946108,18.1818,18.0559,19.806,18.2153,17.5157
2017-07-07,30.29,30.44,29.44,17.24,749734,18.0364,17.9952,19.7812,18.2203,17.5115
2017-07-14,29.53,30.52,29.47,17.67,978291,17.9795,17.9709,19.7566,18.2433,17.5233
2017-07-21,30.38,30.71,30.16,17.71,1278264,17.9377,17.9514,19.7272,18.2126,17.5456
2017-07-28,30.6,31.3,30.31,18.13,977823,17.9676,17.9648,19.7021,18.2267,17.5688
2017-08-04,31.69,32.25,31.5,18.7,1226173,18.0797,18.019,19.6794,18.248,17.603
2017-08-11,32.03,32.2,31.36,18.33,906331,18.1182,18.042,19.6527,18.2418,17.6325
2017-08-18,31.47,31.59,30.13,18.21,859900,18.1319,18.0543,19.6232,18.2196,17.6561
2017-08-25,31.05,31.36,30.81,18.19,725012,18.1409,18.0643,19.5902,18.2087,17.6781
2017-09-01,31.41,31.74,31.28,18.46,734831,18.1897,18.0935,19.5588,18.2263,17.7279
2017-09-08,31.92,32.8,31.78,18.76,727085,18.2774,18.1429,19.532,18.274,17.7831
2017-09-15,32.3,33.05,32.28,19.18,2122766,18.4161,18.2196,19.5059,18.3321,17.8377
2017-09-22,32.32,33.5,32.09,19.59,1827005,18.5965,18.321,19.4825,18.373,17.8916
