date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2008-11-26,40.0,43.64,38.61,35.41,477000,5682034.1264,16.7599,20.7896,3.1468,27.3945,31.3452,35.2958,31.7169,24.5708,31.1342,28.8747,32.6797,1.3214,0.239,1.0824,70.0987,4.6325,15.0515,61.6535,26.3485,31.2464,22.4182,31.3452,28.4369,31.7323,86.9,94.3607,92.136,100.0
2008-11-28,43.07,44.58,42.75,35.06,151700,5594993.1428,15.6202,19.5366,3.0282,27.4032,31.6053,35.8073,32.1628,24.6751,31.5082,29.1173,33.275,1.4727,0.3122,1.1605,73.2464,0.7315,2.1307,60.6406,26.4397,31.6614,22.4813,31.6053,28.567,32.4719,91.3428,90.0774,86.975,84.5172
2008-12-01,42.01,42.7,38.62,31.53,388900,5238501.4761,15.6378,19.0742,3.0743,27.3756,31.563,35.7504,32.0778,24.7433,31.5099,29.2117,32.8376,1.2924,0.1056,1.1869,70.4501,-1.2191,-3.723,51.4346,26.6356,31.9151,22.5256,31.563,28.6461,32.9293,86.9213,76.3256,61.5057,0.0
2008-12-02,39.75,40.7,37.07,31.86,490800,5324128.1134,16.0025,18.9077,3.0657,27.3804,31.5691,35.7578,32.0486,24.8141,31.5431,29.3156,32.5929,1.1631,-0.0191,1.1821,62.9133,1.471,4.8409,52.1716,26.8275,32.0579,22.5714,31.5691,28.7515,33.1778,75.1583,59.0717,30.5765,7.2122
2008-12-03,37.94,39.99,37.24,32.39,448100,5726603.3861,16.3412,19.4216,3.0064,27.3896,31.5264,35.6632,32.0937,24.8895,31.6235,29.436,32.5415,1.0906,-0.0732,1.1638,62.795,2.5032,8.3764,53.3795,27.0156,32.1729,22.6198,31.5264,28.8704,33.2799,59.3866,42.7625,8.7483,19.0326
2008-12-04,39.28,39.8,37.5,30.85,302600,5545043.3861,16.6557,19.8989,2.928,27.3231,31.4537,35.5843,31.928,24.9488,31.5499,29.4915,32.1189,0.8988,-0.212,1.1108,55.2132,2.5276,8.924,49.4675,27.1999,31.9244,22.6578,31.4537,28.9763,32.8457,44.674,32.1877,8.7483,0.0
2008-12-05,37.45,41.4,37.25,33.47,348600,5856683.3861,16.3494,19.3716,2.9598,27.4718,31.63,35.7883,32.1334,25.0335,31.7326,29.6474,32.4562,0.9471,-0.131,1.0781,56.2301,3.3484,11.1171,55.457,27.3805,31.9761,22.7121,31.63,29.1264,32.9374,38.5356,40.6565,39.6775,100.0
2008-12-08,41.69,43.46,40.28,34.87,288000,6043249.4239,15.3607,18.3803,2.933,27.6756,31.9108,36.146,32.4977,25.1314,32.031,29.8521,33.0586,1.0857,0.0061,1.0796,61.2254,3.194,10.0847,58.3002,27.5575,32.296,22.7711,31.9108,29.2771,32.8596,43.8548,58.7202,66.6667,100.0
2008-12-09,42.32,45.11,41.73,35.76,384000,6175036.4061,14.5996,17.2766,2.9197,28.1536,32.3001,36.4467,32.9327,25.2371,32.3861,30.0838,33.7339,1.2531,0.1389,1.1143,66.8327,1.8693,5.5156,60.0562,27.731,32.7157,22.8342,32.3001,29.4437,32.9595,60.921,83.3862,100.0,100.0
2008-12-10,44.65,44.97,40.99,33.99,455100,5909751.984,13.647,16.4799,2.9422,28.4566,32.5066,36.5565,33.0734,25.3242,32.5387,30.2369,33.7975,1.2288,0.0916,1.1372,63.6501,1.1622,3.5405,55.1037,27.9989,33.1203,22.8882,32.5066,29.5494,33.3113,73.511,78.4267,84.4095,53.2286
2008-12-11,41.21,41.21,38.41,32.13,519800,5805791.984,13.3765,16.037,2.93,28.5972,32.574,36.5508,32.9472,25.3919,32.4995,30.311,33.3799,1.0472,-0.072,1.1192,53.7919,-3.2834,-9.2724,50.4018,28.2588,33.2637,22.9349,32.574,29.631,33.3496,73.165,57.682,51.0762,0.0
2008-12-12,39.04,43.49,39.04,35.01,438700,6163652.8829,12.4595,15.0441,2.9791,28.5606,32.6082,36.6557,33.2226,25.4876,32.7388,30.4954,33.788,1.1231,0.0032,1.12,53.4667,-0.0488,-0.1391,56.5862,28.5109,33.5023,22.9994,32.6082,29.7753,33.7246,62.7975,52.2839,39.0956,64.0581
2008-12-15,43.39,43.39,41.3,34.08,301900,6043759.5815,11.608,14.6452,2.8876,28.5768,32.6748,36.7728,33.3366,25.5731,32.8663,30.6358,33.8604,1.0953,-0.0197,1.115,53.5131,2.552,8.0949,54.2273,28.7554,33.5156,23.0588,32.6748,29.96,34.1855,53.4604,50.4155,34.561,39.6249
2008-12-16,42.17,45.5,41.88,36.81,442700,6435096.598,11.4724,14.1162,2.8915,28.6654,32.9958,37.3262,33.7995,25.6849,33.2417,30.8779,34.5973,1.2788,0.131,1.1478,61.4407,4.9495,15.5357,59.535,28.9926,33.8001,23.1304,32.9958,30.2183,34.6627,58.5972,73.0923,67.8943,100.0
2008-12-17,44.83,47.34,43.07,37.86,438500,6719556.7854,11.8605,13.7404,2.9328,28.821,33.3949,37.9687,34.3415,25.8061,33.682,31.1519,35.4142,1.4923,0.2756,1.2167,61.4441,5.4778,16.9134,61.3999,29.3121,33.9754,23.2073,33.3949,30.5152,35.0911,67.9667,80.3922,79.875,100.0
