date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2011-07-05,208.76,214.45,208.73,10.66,3585200,25647607397.357,22.3306,20.8688,0.2588,8.8473,9.6982,10.5492,9.9941,8.7989,9.8896,9.6572,10.2417,0.2211,0.1246,0.0965,67.083,1.2735,13.5681,72.4127,9.3769,9.8259,8.9287,9.6982,9.7561,10.1964,91.0252,91.4509,100.0,100.0
2011-07-06,212.12,214.4,211.01,10.71,2607600,25693297897.0177,24.066,22.1276,0.2524,8.8213,9.7648,10.7084,10.0895,8.8179,9.9677,9.6984,10.3586,0.2576,0.1289,0.1287,75.3898,0.998,10.2765,73.127,9.4711,9.9266,8.9444,9.7648,9.7849,10.351,92.2785,94.767,100.0,100.0
2011-07-07,215.09,217.8,215.09,10.84,3144900,25706991557.5343,26.0694,23.4182,0.2473,8.8005,9.8366,10.8726,10.1892,8.838,10.0505,9.7431,10.4782,0.2935,0.1318,0.1617,84.2335,1.2555,13.1034,74.9109,9.5587,10.0448,8.9609,9.8366,9.8193,10.4616,93.5145,94.3256,100.0,100.0
2011-07-08,214.3,218.32,213.25,10.91,3707900,25779979411.5777,27.3155,24.0318,0.2477,8.7855,9.9081,11.0307,10.2858,8.8587,10.1327,9.789,10.5872,0.3244,0.1301,0.1942,83.6974,1.206,12.4227,75.9493,9.6652,10.1588,8.9775,9.9081,9.8409,10.5754,95.4461,97.2457,100.0,100.0
2011-07-11,216.74,217.5,211.0,10.63,4033700,25737780703.8854,27.7623,23.7086,0.256,8.8421,9.9731,11.1041,10.3314,8.8763,10.1798,9.8219,10.5973,0.322,0.1022,0.2198,76.5594,1.0,10.3869,65.1456,9.7778,10.2474,8.9924,9.9731,9.8584,10.6352,89.7942,77.8114,66.6667,0.0
2011-07-12,214.64,215.65,211.12,10.56,3985700,25661938023.9737,28.1773,23.4337,0.2539,8.9192,10.0355,11.1518,10.362,8.893,10.2162,9.8509,10.5883,0.3112,0.0732,0.2381,69.1905,0.499,4.959,62.9249,9.8802,10.3081,9.0051,10.0355,9.8738,10.6834,74.2083,47.5678,33.3333,0.0
2011-07-13,214.7,216.83,212.14,10.68,4229900,25626403256.3831,28.7544,23.2466,0.2558,8.9735,10.0943,11.2152,10.4038,8.9108,10.2599,9.8832,10.61,0.3083,0.0562,0.2521,69.99,0.5575,5.5103,65.1265,9.9734,10.3863,9.0186,10.0943,9.8862,10.712,50.3628,25.7094,5.6344,16.9032
2011-07-14,213.58,215.91,209.38,10.52,3902500,25572258309.9819,28.3907,22.5572,0.2608,9.0825,10.1553,11.2282,10.4191,8.9268,10.2846,9.9081,10.5872,0.29,0.0303,0.2597,70.3492,0.31,3.0365,59.8647,10.0583,10.4442,9.0313,10.1553,9.8981,10.6919,29.8125,16.1603,5.6344,0.0
2011-07-15,213.08,214.53,209.29,10.64,4072600,25602103317.6155,28.0243,22.5336,0.2609,9.2344,10.2284,11.2224,10.4491,8.9439,10.3188,9.937,10.6013,0.2824,0.0181,0.2642,70.7697,0.419,4.098,62.4707,10.1355,10.5168,9.0447,10.2284,9.911,10.6825,23.8392,29.648,22.0837,49.3479
2011-07-18,212.53,213.39,208.29,10.58,2898100,25617787152.9096,27.3559,22.3757,0.2605,9.3798,10.2913,11.2028,10.466,8.9601,10.3433,9.9621,10.5951,0.2678,0.0028,0.2649,63.7116,0.102,0.9738,60.2052,10.2057,10.5535,9.0584,10.2913,9.9254,10.6453,25.5728,30.9101,18.6061,6.4704
