date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2025-12-09,15.2,15.43,15.17,15.22,467246,-39042460.2426,35.8843,35.09,0.5936,13.6762,14.9055,16.1348,15.0887,14.8852,14.7212,14.8382,15.324,15.7481,0.4054,0.0442,0.3613,36.6106,0.43,2.9074,55.4243,14.1355,15.2536,14.9055,14.0807,14.1904,15.3871,15.5097,27.0482,0.0
2025-12-10,15.22,15.94,15.13,15.87,1150982,-38090413.4031,36.4881,35.5006,0.6091,13.9277,15.027,16.1263,15.1929,14.979,14.7953,14.8786,15.4605,15.7508,0.4315,0.0562,0.3753,33.5856,0.85,5.6591,61.2317,14.2576,15.3171,15.027,14.1703,14.1938,15.4357,15.506,30.5606,91.6818
2025-12-11,15.91,15.99,15.31,15.79,494988,-37886594.8149,37.1119,36.147,0.6141,14.0175,15.104,16.1905,15.2725,15.0562,14.8594,14.9144,15.5429,15.7517,0.4407,0.0523,0.3884,42.1872,0.63,4.1557,60.1923,14.3922,15.3921,15.104,14.2703,14.2018,15.53,15.5033,55.6515,75.2726
2025-12-12,15.87,16.0,15.54,15.92,551890,-37525587.651,37.7044,36.7538,0.6033,14.1779,15.199,16.2201,15.3589,15.1385,14.9279,14.9538,15.6372,15.7554,0.4532,0.0518,0.4013,39.6523,0.2,1.2723,61.3407,14.536,15.4271,15.199,14.3847,14.2102,15.5871,15.4913,88.9848,100.0
2025-12-15,15.89,15.97,15.27,15.41,763619,-37984629.2721,37.3277,36.4513,0.6104,14.3502,15.2605,16.1708,15.3657,15.1643,14.959,14.9717,15.5804,15.7478,0.4171,0.0126,0.4045,47.2305,-0.12,-0.7727,54.6766,14.6824,15.4714,15.2605,14.485,14.2228,15.6057,15.4706,58.4242,0.0
2025-12-16,15.31,15.56,15.25,15.48,619123,-37699636.1451,36.9104,36.3187,0.5893,14.5658,15.3265,16.0872,15.3809,15.1944,14.9926,14.9916,15.5553,15.7419,0.3897,-0.0118,0.4015,51.6703,0.35,2.3133,55.3929,14.8142,15.5043,15.3265,14.599,14.2274,15.57,15.4431,36.9163,10.749
2025-12-17,15.31,15.84,15.27,15.84,662349,-37037287.1451,36.9907,36.5775,0.5879,14.6999,15.393,16.0861,15.4421,15.2559,15.0473,15.0249,15.6265,15.7441,0.3925,-0.0072,0.3997,51.1106,0.32,2.0619,58.9833,14.9328,15.5529,15.393,14.7187,14.2448,15.6471,15.4286,25.1247,64.625
2025-12-18,15.85,15.98,15.7,15.82,633701,-37117939.9997,37.2781,36.9242,0.5655,14.7453,15.435,16.1247,15.4925,15.3096,15.0971,15.0561,15.6748,15.7457,0.3886,-0.0089,0.3975,50.9221,0.54,3.534,58.7006,15.0395,15.56,15.435,14.8447,14.2666,15.7329,15.4093,45.2524,60.3832
2025-12-19,15.82,16.66,15.73,16.6,1408554,-35891134.9029,38.4219,37.3217,0.5916,14.7432,15.528,16.3128,15.6402,15.4325,15.1941,15.1166,15.9061,15.7645,0.4434,0.0367,0.4067,61.5799,0.87,5.5308,65.6206,15.1355,15.6364,15.528,14.998,14.311,15.8371,15.3903,75.0028,100.0
2025-12-22,16.48,17.56,16.48,17.12,1301116,-35650187.4955,40.2431,38.0704,0.6265,14.5674,15.6125,16.6576,15.8375,15.5932,15.3183,15.1952,16.2096,15.7943,0.5227,0.0928,0.4299,70.3831,1.82,11.8954,69.3123,15.3032,15.7786,15.6125,15.1583,14.372,16.0271,15.3871,86.7944,100.0
2025-12-23,17.0,17.12,16.56,16.83,701589,-35675244.2455,41.9341,38.8153,0.6217,14.6137,15.7145,16.8153,15.9698,15.711,15.4159,15.2593,16.3647,15.8171,0.5558,0.1007,0.4551,62.9353,1.61,10.5782,65.113,15.574,15.8721,15.7145,15.293,14.426,16.1571,15.3748,86.8094,60.4281
2025-12-24,16.75,16.88,16.53,16.63,416407,-35850255.8832,43.4023,39.6293,0.6019,14.6738,15.795,16.9162,16.0578,15.7985,15.4942,15.313,16.431,15.8349,0.5594,0.0835,0.476,65.1657,0.76,4.7889,62.3093,15.8124,15.9686,15.795,15.3993,14.4748,16.3314,15.3654,64.8118,34.0073
2025-12-26,16.7,16.76,16.27,16.38,748332,-36259138.3162,43.8923,39.9485,0.5936,14.7469,15.856,16.9651,16.1008,15.8539,15.5513,15.3549,16.4183,15.8469,0.5359,0.048,0.4879,58.687,0.59,3.7365,58.8955,16.0221,16.015,15.856,15.4703,14.5244,16.46,15.3592,31.4785,0.0
2025-12-29,16.38,16.57,16.17,16.34,1091584,-36422875.9162,44.0229,39.9536,0.5798,14.7604,15.887,17.0136,16.1327,15.9002,15.6022,15.3935,16.3987,15.8577,0.5082,0.0162,0.492,56.3605,0.42,2.6382,58.3447,17.56,16.0893,15.887,15.5477,14.5814,16.5314,15.3488,11.3358,0.0
2025-12-30,16.39,16.65,16.12,16.33,991022,-36638807.4461,44.2425,40.3653,0.5759,14.7971,15.927,17.0569,16.159,15.9411,15.6492,15.4302,16.3815,15.8681,0.4799,-0.0096,0.4896,62.3068,0.92,5.9701,58.1982,17.5461,16.1686,15.927,15.6193,14.637,16.6043,15.3341,-0.0,0.0
2025-12-31,16.18,16.67,16.1,16.49,1699946,-36012511.5514,44.3592,40.7356,0.5755,14.902,15.995,17.088,16.2031,15.9934,15.7034,15.4718,16.4086,15.8818,0.4651,-0.0196,0.4847,64.2057,1.01,6.5245,59.9322,17.5177,16.2129,15.995,15.697,14.6898,16.5886,15.3226,14.0592,42.1775
2026-01-02,16.46,16.63,15.74,15.78,1761854,-37615996.6525,43.2579,40.4811,0.5979,14.9319,16.008,17.0841,16.1467,15.9731,15.7084,15.4839,16.2515,15.8795,0.3915,-0.0746,0.466,54.5617,-0.06,-0.3788,50.0172,17.4751,16.2121,16.008,15.7393,14.7242,16.3971,15.3111,14.0592,0.0
2026-01-05,15.64,16.14,15.54,15.66,1125868,-38272752.9859,41.623,39.4753,0.5981,14.9903,16.027,17.0637,16.0818,15.9433,15.7052,15.4908,16.1036,15.8747,0.3198,-0.117,0.4368,48.5217,-0.16,-1.0114,48.5551,17.4057,16.1936,16.027,15.762,14.7566,16.23,15.3017,14.0592,0.0
2026-01-06,15.63,16.3,15.48,16.15,1497466,-37323140.4005,40.4147,38.6626,0.6139,15.0192,16.048,17.0768,16.0909,15.963,15.7339,15.5166,16.1152,15.8808,0.2991,-0.1102,0.4093,56.1116,-0.45,-2.7108,54.4148,17.3122,16.2464,16.048,15.809,14.805,16.1614,15.2956,17.1683,51.5048
2026-01-07,16.2,17.19,16.11,17.03,1003943,-36616661.9931,40.5855,38.7881,0.6472,15.0812,16.1345,17.1878,16.2161,16.0646,15.8176,15.576,16.3439,15.906,0.3496,-0.0477,0.3973,61.307,-0.09,-0.5257,62.6442,17.2023,16.3571,16.1345,15.8623,14.8744,16.2543,15.2967,50.5016,100.0
2026-01-08,16.85,16.97,16.55,16.79,594375,-36531751.2788,40.7441,39.0111,0.6353,15.2113,16.213,17.2147,16.2926,16.1337,15.8803,15.6236,16.4554,15.9255,0.3661,-0.025,0.3911,57.1769,-0.04,-0.2377,59.4899,17.19,16.425,16.213,15.929,14.9336,16.3186,15.2939,76.3723,77.612
2026-01-09,16.62,17.61,16.62,17.56,837288,-35779467.1367,41.5736,39.9978,0.6603,15.1511,16.2975,17.4439,16.4616,16.2695,15.9887,15.6995,16.7316,15.9614,0.4363,0.0361,0.4001,57.9361,0.93,5.5923,65.4932,15.48,16.5493,16.2975,16.0137,15.0212,16.4943,15.3038,92.5373,100.0
2026-01-12,17.15,17.96,17.15,17.68,1139824,-35427669.6058,42.6486,41.4458,0.671,15.1234,16.392,17.6606,16.6241,16.4038,16.0978,15.7772,16.9687,15.9992,0.4958,0.0766,0.4193,57.4337,1.3,7.9365,66.3306,15.5013,16.6264,16.392,16.0977,15.119,16.6643,15.3118,92.5373,100.0
2026-01-13,17.63,17.75,16.92,17.14,1159786,-35972629.2926,42.9801,42.4571,0.6823,15.1639,16.453,17.7421,16.6929,16.474,16.165,15.8306,17.0115,16.0242,0.4938,0.0596,0.4342,48.862,0.8,4.896,59.3506,15.5505,16.6279,16.453,16.145,15.212,16.8586,15.3144,66.6667,0.0
2026-01-14,17.27,17.8,16.76,17.58,973920,-35410752.3695,42.8383,43.1203,0.7079,15.2766,16.5615,17.8464,16.8111,16.5793,16.2563,15.8993,17.1536,16.0584,0.5216,0.07,0.4517,54.6445,1.25,7.6546,62.7868,15.5987,16.6814,16.5615,16.2133,15.3156,17.1329,15.3206,49.7432,49.2296
2026-01-15,17.62,17.9,17.39,17.49,1205903,-36129656.081,42.8301,43.3612,0.6944,15.4173,16.662,17.9067,16.9017,16.666,16.3359,15.9616,17.2377,16.0899,0.5304,0.063,0.4674,59.7313,1.0,6.0643,61.6391,15.6459,16.7429,16.662,16.292,15.4242,17.3243,15.3178,27.3385,32.7858
2026-01-16,17.37,17.97,17.33,17.72,1195638,-35867882.548,42.9009,43.4619,0.6905,15.4901,16.756,18.0219,17.0108,16.7664,16.4252,16.0306,17.3583,16.1257,0.5495,0.0657,0.4838,65.5534,1.94,12.294,63.4766,15.6922,16.8386,16.756,16.3653,15.5336,17.4229,15.3217,47.0422,59.1113
2026-01-20,17.49,18.15,17.49,17.65,1076838,-36422617.2752,43.1838,43.7131,0.6884,15.601,16.8475,18.094,17.096,16.8506,16.5042,16.0941,17.4312,16.1592,0.5526,0.055,0.4976,72.2343,1.99,12.7075,62.4954,15.7605,16.9321,16.8475,16.4443,15.6458,17.5457,15.3272,56.0389,76.2196
2026-01-21,17.62,17.99,17.49,17.89,1118538,-35751494.4752,43.4464,43.9028,0.6749,15.5921,16.912,18.2319,17.2019,16.9495,16.5936,16.1645,17.5459,16.1973,0.5679,0.0563,0.5116,72.6022,1.74,10.774,64.5203,15.8561,17.0436,16.912,16.5163,15.7636,17.5929,15.3238,78.4436,100.0
2026-01-22,18.0,18.39,17.49,18.0,1877252,-35489308.4417,44.1495,43.7037,0.6906,15.5551,16.956,18.3569,17.3083,17.0496,16.6844,16.2365,17.6594,16.2369,0.5822,0.0565,0.5258,73.163,0.97,5.6958,65.4413,15.9478,17.1514,16.956,16.6063,15.8774,17.6386,15.3212,92.0732,100.0
2026-01-23,18.04,18.21,17.48,17.73,894227,-35771051.1951,44.7664,43.1947,0.6934,15.5619,17.001,18.4401,17.3645,17.1144,16.7518,16.2951,17.6771,16.2697,0.5652,0.0316,0.5337,76.4987,0.94,5.5986,61.2393,16.0697,17.2907,17.001,16.69,15.9762,17.7229,15.3143,66.6667,0.0
2026-01-26,17.88,17.95,17.4,17.9,597794,-35281947.0133,45.0386,42.7267,0.6832,15.585,17.0645,18.544,17.4359,17.1892,16.8259,16.358,17.7328,16.3055,0.5591,0.0203,0.5387,78.5724,0.34,1.9362,62.8565,16.1855,17.4507,17.0645,16.7577,16.0654,17.7686,15.3086,46.162,38.4859
2026-01-27,17.94,17.98,17.5,17.59,635643,-35679223.8883,45.3318,42.9587,0.6687,15.6635,17.125,18.5865,17.4565,17.2274,16.8752,16.4063,17.6971,16.3337,0.5231,-0.0125,0.5356,73.0132,-0.09,-0.509,58.0965,16.2954,17.5536,17.125,16.8177,16.1322,17.7829,15.299,12.8286,0.0
